episode,steps,reward_return,episode_return_rate,avg_q1_loss,avg_q2_loss,avg_actor_loss,avg_alpha_loss,alpha,avg_entropy,action_mean,action_std,avg_cash_ratio,avg_position_ratio
10,376,-0.08505165453274799,-0.5353713072125004,0.005035225579705822,0.005081387479452693,-1.1699131511627359,-4.193942234871235,0.0780397255039287,0.6816200162184999,0.5303350840001664,0.2900990008014331,0.4699875129619557,0.5300124870380443
11,376,0.03266608096600976,0.16253598161305427,0.004901409355683272,0.004928858900576473,-1.22840959816537,-4.378342642429027,0.06972293813405683,0.679631047901955,0.5059687371583695,0.2950418582033429,0.4933767196950648,0.5066232803049352
12,376,-0.13621703787202932,0.9396386164061195,0.0051462729368606545,0.005169381741731567,-1.2701916872186865,-4.565610653542458,0.062292955141269736,0.6788954030960164,0.5117301016728929,0.2988154334654828,0.48710269267021017,0.5128973073297899
13,376,0.027159749864949845,1.2332987591059945,0.005815165167540669,0.005846887048237283,-1.2987358427428184,-4.744587247676038,0.05566320352225616,0.6753404291069254,0.4907256862584581,0.29499819294620516,0.5082817485896761,0.4917182514103239
14,376,-0.2975414822503808,-0.10966039813433404,0.0056761770145075914,0.005718329942418619,-1.3205052760053189,-4.925766153538481,0.049742273903167704,0.6728659871410816,0.5243970426790258,0.2937507826190407,0.4754773029140886,0.5245226970859114
15,376,0.1438716884877067,0.6481135903053568,0.005592700342915239,0.005670058233861594,-1.3375472264721038,-5.100152232545487,0.04445674703883698,0.6684030554396041,0.5365302396264482,0.2999904216140139,0.46278576532758564,0.5372142346724144
16,376,-0.1271455835303641,-0.24696312328353154,0.005767657205108256,0.005821813067899363,-1.348823272484414,-5.267052782342789,0.03974204618587131,0.6619916650209021,0.4918706842717972,0.29046585087467425,0.5077205965910301,0.49227940340897
17,376,-0.09842036264308263,0.5219289103225986,0.005433016904986444,0.005503129650296227,-1.3562755121829662,-5.428344625107785,0.03553432097971169,0.6544173434376717,0.4937971179631162,0.29036637258847703,0.5053125067622432,0.49468749323775685
18,376,0.025760538839676883,0.4942341130184291,0.006069428687778975,0.006124982787135176,-1.353924198987636,-5.586258713235247,0.03177838842704171,0.6464405089933821,0.47955860316436344,0.28760255970839516,0.519722176381641,0.4802778236183591
19,376,0.3243722454935778,4.808741126941413,0.0059875073412958375,0.006051908049019093,-1.3403950286038377,-5.726423876082643,0.02842895787956604,0.6340424749762454,0.4626305341086489,0.3234004772469248,0.5360588172958601,0.4639411827041399
20,376,-0.2886893137383595,1.4988500963972906,0.007467560796438657,0.007440403924618372,-1.2748211745886093,-5.848237697114336,0.02544594550187606,0.6175165851699546,0.3220715847738246,0.2999708318261165,0.6776261212151022,0.3223738787848977
21,376,-0.03031187113811029,0.5241353589537083,0.005801560498397559,0.005793264136647191,-1.2409954911216776,-6.042273516350604,0.022756907990562392,0.6212759059160313,0.5083472450521398,0.3111548485595725,0.49124175568360334,0.5087582443163966
22,376,0.5180177427100716,-0.14085393171509086,0.005783454977605056,0.005795632201702671,-1.2317187028362395,-6.159862238041898,0.02036437136752548,0.6048726182668767,0.5584335599807982,0.29428074604640564,0.4412232748825458,0.5587767251174541
23,376,-0.8562699643225642,-0.5281958876936235,0.0056983703893530085,0.005690750382664772,-1.2180822685043862,-6.284038229191557,0.01822877207030054,0.5912399561481273,0.5190025136825887,0.30330089195299303,0.4807669119834903,0.5192330880165098
24,376,-0.17699036618432729,0.39988942883286027,0.005877459016157948,0.005906659551212524,-1.2048426974327007,-6.408124109531971,0.016318940026943254,0.5784038875172747,0.4708198313700392,0.28735213102617385,0.5279083448061948,0.4720916551938052
25,376,0.027626089489785954,0.4908167550277742,0.005565285971239606,0.0055784961825454645,-1.180335262988476,-6.489034981169599,0.014618589706269173,0.5560447758341089,0.5504210561196855,0.27788447723844334,0.44882442993991434,0.5511755700600857
26,376,-0.07519305100504425,0.9703336483480223,0.00519698794387489,0.005206977158408374,-1.1638038031598354,-6.56004884522012,0.013103110457064191,0.5327430484776802,0.5080365671756419,0.2874503378671958,0.49112679402724113,0.5088732059727589
