Date,Price,Open,High,Low,Vol.,Change %
"Jan 15, 2026","95,604.8","96,951.78","97,193.34","95,134.48",21.73K,-1.39%
"Jan 14, 2026","96,951.78","95,413.99","97,924.49","94,559.28",22.85K,1.61%
"Jan 13, 2026","95,414","91,296.2","96,495","91,042.66",23.02K,4.51%
"Jan 12, 2026","91,296.2","91,013.66","92,519.95","90,128.44",16.19K,0.31%
"Jan 11, 2026","91,013.65","90,504.7","91,283.89","90,236",5.48K,0.56%
"Jan 10, 2026","90,504.7","90,641.27","90,832","90,404",3.10K,-0.15%
"Jan 09, 2026","90,641.28","91,100","92,082.55","89,694.66",15.59K,-0.50%
"Jan 08, 2026","91,099.99","91,364.16","91,687.99","89,311",16.13K,-0.29%
"Jan 07, 2026","91,364.16","93,747.97","93,747.97","90,675.52",14.28K,-2.54%
"Jan 06, 2026","93,747.97","93,859.71","94,444.44","91,262.94",18.55K,-0.12%
"Jan 05, 2026","93,859.71","91,529.74","94,789.08","91,514.81",20.67K,2.55%
"Jan 04, 2026","91,529.73","90,628.01","91,810","90,628",10.43K,0.99%
"Jan 03, 2026","90,628.01","89,995.14","90,741.16","89,314.01",7.06K,0.70%
"Jan 02, 2026","89,995.13","88,839.05","90,961.81","88,379.88",17.40K,1.30%
"Jan 01, 2026","88,839.04","87,648.21","88,919.45","87,550.43",6.28K,1.36%
"Dec 31, 2025","87,648.22","88,485.5","89,200","87,250",11.56K,-0.95%
"Dec 30, 2025","88,485.49","87,237.13","89,400","86,845.66",13.11K,1.43%
"Dec 29, 2025","87,237.13","87,952.71","90,406.08","86,806.5",19.89K,-0.81%
"Dec 28, 2025","87,952.71","87,877","88,088.75","87,435",4.45K,0.09%
"Dec 27, 2025","87,877.01","87,369.56","87,984","87,253.05",4.47K,0.58%
"Dec 26, 2025","87,369.56","87,225.27","89,567.75","86,655.08",18.34K,0.17%
"Dec 25, 2025","87,225.27","87,669.44","88,592.74","86,934.72",7.10K,-0.51%
"Dec 24, 2025","87,669.45","87,486","88,049.89","86,420",9.14K,0.21%
"Dec 23, 2025","87,486","88,620.79","88,940","86,601.9",13.91K,-1.28%
"Dec 22, 2025","88,620.79","88,658.87","90,588.23","87,900",14.67K,-0.04%
"Dec 21, 2025","88,658.86","88,360.91","89,081.77","87,600.04",7.13K,0.34%
"Dec 20, 2025","88,360.9","88,136.95","88,573.07","87,795.76",5.12K,0.25%
"Dec 19, 2025","88,136.94","85,516.41","89,399.97","85,110.24",21.26K,3.06%
"Dec 18, 2025","85,516.41","86,243.23","89,477.61","84,450.01",25.41K,-0.84%
"Dec 17, 2025","86,243.22","87,863.43","90,365.85","85,314",19.83K,-1.84%
"Dec 16, 2025","87,863.42","86,432.08","88,175.98","85,266",18.46K,1.66%
"Dec 15, 2025","86,432.08","88,172.16","90,052.64","85,146.64",19.78K,-1.97%
"Dec 14, 2025","88,172.17","90,240","90,472.4","87,577.36",9.42K,-2.29%
"Dec 13, 2025","90,240.01","90,268.43","90,634.55","89,766.39",5.90K,-0.03%
"Dec 12, 2025","90,268.42","92,513.38","92,754","89,480",16.68K,-2.43%
"Dec 11, 2025","92,513.38","92,015.38","93,555","89,260.63",19.97K,0.54%
"Dec 10, 2025","92,015.37","92,678.81","94,476","91,563.15",19.00K,-0.72%
"Dec 09, 2025","92,678.8","90,634.35","94,588.99","89,500",21.24K,2.26%
"Dec 08, 2025","90,634.34","90,395.32","92,287.15","89,612",15.79K,0.26%
"Dec 07, 2025","90,395.31","89,236.8","91,760","87,719.28",13.02K,1.30%
"Dec 06, 2025","89,236.79","89,330.04","90,289.97","88,908.01",8.41K,-0.10%
"Dec 05, 2025","89,330.04","92,078.06","92,692.36","88,056",19.79K,-2.98%
"Dec 04, 2025","92,078.06","93,429.95","94,080","90,889",19.80K,-1.45%
"Dec 03, 2025","93,429.95","91,277.88","94,150","90,990.23",25.71K,2.36%
"Dec 02, 2025","91,277.88","86,286.01","92,307.65","86,184.39",28.21K,5.79%
"Dec 01, 2025","86,286.01","90,360.01","90,417","83,822.76",34.51K,-4.51%
"Nov 30, 2025","90,360","90,802.44","92,000.01","90,336.9",9.69K,-0.49%
"Nov 29, 2025","90,802.44","90,890.71","91,165.65","90,155.47",7.43K,-0.10%
"Nov 28, 2025","90,890.7","91,333.94","93,092","90,180.63",18.83K,-0.49%
"Nov 27, 2025","91,333.95","90,484.01","91,950","90,089.91",16.83K,0.94%
"Nov 26, 2025","90,484.02","87,369.97","90,656.08","86,306.77",21.68K,3.56%
"Nov 25, 2025","87,369.96","88,300.01","88,519.99","86,116",19.57K,-1.05%
"Nov 24, 2025","88,300.01","86,830","89,228","85,272",24.66K,1.69%
"Nov 23, 2025","86,830","84,739.75","88,127.64","84,667.57",19.73K,2.47%
"Nov 22, 2025","84,739.74","85,129.42","85,620","83,500",14.19K,-0.46%
"Nov 21, 2025","85,129.43","86,637.22","87,498.94","80,600",72.26K,-1.74%
"Nov 20, 2025","86,637.23","91,554.96","93,160","86,100",39.73K,-5.37%
"Nov 19, 2025","91,554.96","92,960.83","92,980.22","88,608",32.29K,-1.51%
